ts,lat,lon,time
1772098529029,34.086608,-118.005284,2026-02-26 09:35:29.029
1772098708842,34.086607,-118.005287,2026-02-26 09:38:28.842
1772098889467,34.086621,-118.005266,2026-02-26 09:41:29.467
1772099069175,34.086621,-118.005269,2026-02-26 09:44:29.175
1772099248983,34.086579,-118.005272,2026-02-26 09:47:28.983
1772099428806,34.086579,-118.005272,2026-02-26 09:50:28.806
1772099608618,34.086579,-118.005272,2026-02-26 09:53:28.618
1772099789437,34.086579,-118.005272,2026-02-26 09:56:29.437
1772099969374,34.086579,-118.005272,2026-02-26 09:59:29.374
1772100149182,34.086579,-118.005272,2026-02-26 10:02:29.182
1772100329012,34.086579,-118.005272,2026-02-26 10:05:29.012
1772100509132,34.086579,-118.005272,2026-02-26 10:08:29.132
1772100688639,34.086579,-118.005272,2026-02-26 10:11:28.639
1772100869548,34.086579,-118.005272,2026-02-26 10:14:29.548
1772101049426,34.086579,-118.005272,2026-02-26 10:17:29.426
1772101229416,34.086579,-118.005272,2026-02-26 10:20:29.416
1772101409164,34.086579,-118.005272,2026-02-26 10:23:29.164
1772101589152,34.086579,-118.005272,2026-02-26 10:26:29.152
1772101768963,34.086579,-118.005272,2026-02-26 10:29:28.963
1772101948784,34.086579,-118.005272,2026-02-26 10:32:28.784
1772102128532,34.086579,-118.005272,2026-02-26 10:35:28.532
1772102309337,34.086579,-118.005272,2026-02-26 10:38:29.337
1772102489259,34.086579,-118.005272,2026-02-26 10:41:29.259
1772102669304,34.086579,-118.005272,2026-02-26 10:44:29.304
1772102848987,34.086579,-118.005272,2026-02-26 10:47:28.987
1772103029112,34.086579,-118.005272,2026-02-26 10:50:29.112
1772103208728,34.086579,-118.005272,2026-02-26 10:53:28.728
1772103389055,34.086579,-118.005272,2026-02-26 10:56:29.055
1772103569428,34.086579,-118.005272,2026-02-26 10:59:29.428
1772103749415,34.086579,-118.005272,2026-02-26 11:02:29.415
1772103929221,34.086579,-118.005272,2026-02-26 11:05:29.221
1772104109034,34.086579,-118.005272,2026-02-26 11:08:29.034
1772104288953,34.086579,-118.005272,2026-02-26 11:11:28.953
1772104468671,34.086579,-118.005272,2026-02-26 11:14:28.671
1772104648587,34.086579,-118.005272,2026-02-26 11:17:28.587
1772104829373,34.086579,-118.005272,2026-02-26 11:20:29.373
1772105009354,34.086579,-118.005272,2026-02-26 11:23:29.354
1772105189163,34.086579,-118.005272,2026-02-26 11:26:29.163
1772105369180,34.086579,-118.005272,2026-02-26 11:29:29.180
